window,ppo,rsi,Date_to_use_on,Pct_Change_Vol_1,Pct_Change_Vol_2,Pct_Change_Vol_3,Pct_Change_Vol_4,Pct_Change_Vol_5,Pct_Change_Vol_6,Pct_Change_Vol_7,Pct_Change_Vol_8,Pct_Change_Vol_9,Pct_Change_Vol_10,Pct_Change_Vol_11,Pct_Change_Vol_12,Pct_Change_Vol_13,Pct_Change_Vol_14,Pct_Change_Vol_15,Pct_Change_Vol_16,Pct_Change_Vol_17,Pct_Change_Vol_18,Pct_Change_Vol_19,Pct_Change_Vol_20,Pct_Change_Vol_21,Pct_Change_Vol_22,Pct_Change_Vol_23,Pct_Change_Vol_24,Pct_Change_Vol_25
0,1,1,2001-07-17,-0.07165202483882349,-0.007077111434283467,-0.01599483128590351,0.01044830750081216,0.15455221666914376,-0.028378107766511396,0.010469658968093265,0.08391342618152553,0.06831941857770696,0.02696374566521409,-0.04071792672262764,-0.010168973339468312,-0.0296024449619966,-0.025454315796253346,0.020678943779151693,-0.05330932507317998,-0.0890181733514055,-0.0895695361797395,-0.008438192212548934,-0.04107427215090231,0.042631766500980994,0.07233247761703088,0.028062271634817337,-0.01451114127435571,0.14187177333442857
25,1,8,2001-08-21,0.1597748530199996,0.12608668679643809,0.007530339148350995,-0.05940668677609395,-0.09815665816031893,-0.04191056036565821,-0.01215839473056779,-0.06059402862057106,-0.07698268016455934,-0.0845435606215178,-0.03812034594629454,-0.05411744990601275,-0.018757042208176422,-0.042199724619060075,-0.04043301882021444,-0.04839235071751058,-0.0026684618449762665,0.013220822780522168,0.019016235039096996,-0.027062001335148023,-0.006261981364952485,0.016244898404108143,0.03300166124676962,0.05829666901847519,-0.008547284054772453
50,1,5,2001-10-02,0.18075205568526576,0.03252729163919521,0.004892008761569144,0.028071459014520794,-0.0429191487632985,-0.014699886001813822,0.040481512625256455,0.04704664339990927,-0.02809411277967333,0.05179211020878549,0.057327618254911394,0.08052665718739482,0.046704015522866404,0.03668182958708943,0.18669610723915753,0.015115153907491186,0.11550521633936262,0.03009617554430899,0.07229786668527494,-0.02233815142970419,-0.04180152365771683,-0.06340939380425314,-0.03470245792902249,0.004625375976481605,-0.0603042784583786
75,1,1,2001-11-06,-0.027131048944697422,0.009326793363519936,0.006976848943182068,0.038851818230912105,-0.007207086169089827,0.04056595569074162,-0.011241775424114753,-0.0062210218412579454,-0.02115225905567597,0.0557009841844569,0.029478318476584553,-0.019909357524320326,-0.06766165257873946,-0.044247090564464076,-0.04327183922591826,-0.01900878126266603,-0.03453913744524362,-0.008670149446265318,-0.045475539791110964,-0.0191798152700553,-0.0185459765385797,-0.040218010840536556,-0.00679148553875264,-0.03819660620672416,-0.03390263233990398
100,2,14,2001-12-12,-0.02224991598948778,-0.016993665045987427,-0.0006164382860412987,-0.03548520274839839,-0.013098732998960583,-0.02980491351490344,-0.03417021975016732,-0.0006565999907490738,0.01615616391151531,-0.02144318086319319,-0.038609497810166316,-0.010501673044286064,-0.08592722485245219,-0.02380025909203154,0.09196855473737897,0.11265245970103344,0.09056924629822571,0.08562953966383136,-0.014355529621597696,-0.04339290042437416,-0.019431880014440073,-0.024322375251612405,-0.06170789980462832,-0.03216509640034548,0.0010230564261268782
125,1,1,2002-01-18,-0.0409165772579172,0.01503281841503501,-0.003290509916706097,0.032006050771527184,-0.015775838906255557,-0.016649420871111653,0.0029441374088443606,0.09296323156607511,-0.10402573273682336,-0.08156197389001207,-0.0402184375777177,-0.005861606089273441,-0.05174926536532387,0.019089179922247013,0.007401432778189054,0.052092780550099915,0.046579684045400915,0.05640021556450314,-0.011453111717384057,0.02404689935425619,0.00483689535112819,-0.0004790839736772412,0.04920565465320914,0.006263036749259099,-0.014920192925003128
150,1,1,2002-02-26,-0.01883798382439572,0.10486723570559442,-0.005316682323188382,0.061140596654744694,-0.0005903108749181207,-0.02857635836103778,0.2460020680754751,0.1631531915664013,-0.005729590876837554,-0.006721525742561019,-0.005461644367203533,0.021461573230639353,-0.017137364908495822,-0.021333164246837844,-0.03496717087366019,-0.04460743348988683,-0.01850960290878423,-0.007824681904578301,0.004631178949157766,0.01649421562155573,-0.0010632772490685172,0.005784578354353975,-0.028539608875918332,-0.022990473729409766,0.0009630246019447508
175,7,14,2002-04-03,0.0020409366276812335,0.01166667407680233,-0.00439354419195126,-0.014895218391360432,0.15762026256251804,0.029441370896324592,-0.015428330246286093,-0.00016108260737468516,-0.02222919735443285,-0.01631118693695721,-0.019475862851320858,-0.05626998412201145,-0.05703262178878998,0.07244439763232635,-0.0342991667850594,-0.03009442576602195,-0.06847794050057388,-0.06808262339400284,-0.02826702718158447,-0.05781216408048273,-0.019969766010744072,0.02218195952079216,-0.02997366253079492,0.0026665938625582974,-0.023647744346670607
200,6,12,2002-05-08,0.0023962317720944704,-0.02265887118839449,-0.011010169648592472,0.02246321925032846,-0.01958736760547619,0.10193212487322478,0.03373238176152826,0.02142475637997565,0.06336569430090888,0.052734281011151296,0.019152600420616395,-0.016793287178502925,0.004520191335104062,0.01723848222035973,0.012066283238834963,-0.015572060468282412,0.005055035220704829,0.04776206101230418,-0.03301890290165255,-0.01319368793858322,-0.010720258664313254,-0.002657181650556395,-0.0377572094805092,-0.005089636442990542,0.023452960496882058
225,1,6,2002-06-13,0.02132471148753834,-0.004802671460443997,-0.026190811624582366,-0.004546536778195387,0.015428962967251048,-0.014187268330313918,-0.028059060672452674,0.002983639293074658,-0.05205173362431803,0.016680353308557327,-0.024007186405227254,-0.019283509959780565,-0.02391492171470533,-0.03513293170778298,-0.03959689045713566,-0.021116591675022223,-0.017669196369700213,0.03752578621336489,0.04444040799763416,0.017670993919286504,0.1567336031063622,0.11465106635948885,-0.02802166372405568,-0.026157364650787884,0.013943749710274567
