window,ppo,rsi,Pct_Change_Vol_1,Pct_Change_Vol_2,Pct_Change_Vol_3,Pct_Change_Vol_4,Pct_Change_Vol_5,Pct_Change_Vol_6,Pct_Change_Vol_7,Pct_Change_Vol_8,Pct_Change_Vol_9,Pct_Change_Vol_10,Pct_Change_Vol_11,Pct_Change_Vol_12,Pct_Change_Vol_13,Pct_Change_Vol_14,Pct_Change_Vol_15,Pct_Change_Vol_16,Pct_Change_Vol_17,Pct_Change_Vol_18,Pct_Change_Vol_19,Pct_Change_Vol_20,Pct_Change_Vol_21,Pct_Change_Vol_22,Pct_Change_Vol_23,Pct_Change_Vol_24,Pct_Change_Vol_25
0,1,1,0.08521939958813185,0.059755958977080414,0.015509072372274613,0.05395069162363053,0.06591213175243249,-0.031219995750324747,0.14813581444564639,0.08200678876692402,0.06590918851700689,-0.015390342953488068,-0.08582649564240952,0.038592179418280415,0.044863884878507676,0.009704245508469045,0.08034725106033447,-0.032123704478041915,-0.06165438935606127,-0.041016232732631,-0.02752926511236542,0.008940660420256652,-0.01121859517488677,0.015129007658356786,0.029345297940443604,-0.04766677663689678,0.0070234105672826175
25,1,1,0.004394051599334148,-0.014548081165355664,-0.00686982653823609,-0.022661542872021156,0.042939537486474944,-0.00765110549581427,-0.043489210240426845,0.005108749881667318,-0.044811351195495286,-0.013604333119595635,-0.002948790202594309,-0.017314922027960478,-0.019673477851110732,-0.05716649342697533,-0.06515820610583212,-0.01916779827347459,-0.002584380847212242,0.1582943007851505,0.022728733300387827,0.00586412313843665,-0.004222218729491578,-0.00021486547491988972,0.015515293528715723,0.12629887907864412,-0.004889351618753923
50,1,6,0.06648922650608946,0.07005325309654342,-0.04581359148947595,0.0020454932372784285,-0.026927045260143556,0.039581695833127206,-0.01725824562074829,0.016065847427949143,-0.04728678270479525,-0.007935014580024324,0.035401917954198225,0.002875941565937401,0.047572307201875885,-0.02182481123318014,0.15026598927356893,0.00950822556012243,0.11362116637031439,0.006200464068448097,0.06591326480216764,-0.037053332949469,-0.009037227256496916,0.0399517271014338,0.027950113132586107,-0.03276402555981395,-0.014825586111866351
75,1,1,-0.035123584947080344,-0.012235295341714969,0.10237178206603792,0.04814775009797012,-0.04643799132324289,-0.05104309807050866,-0.004203108309773329,0.09823600108112251,-0.023780536733256863,-0.029463781655669652,-0.028215073713648064,0.0012952899482094882,-0.03366378219338351,0.0005805994192633612,0.01921829487524196,-0.0616946865789294,-0.04757528798989885,0.008550671280238564,-0.03397551747721972,-0.052873238683967316,-0.035635820936577245,0.013142855831961064,0.0014623265985953537,-0.02055659592935355,0.0032454342495098487
100,1,1,0.016920911908054226,0.006346008881569221,-0.010963672837517202,-0.08622663910977912,-0.03436687469224542,0.05771341679431696,0.055539625120900826,0.059326976197993764,-0.042735458796847814,-0.031436523404144934,-0.05650071633914577,-0.05641548498433446,-0.10597369108743582,-0.03572937512352159,0.010453063248809125,0.09419707344141948,0.0776472284135461,-0.010943098089484016,0.008204093236554577,0.0021362059388323473,0.0920694866340499,0.09494707999560781,-0.00385218664773912,-0.08700489048268512,-0.015330597431657322
125,1,1,-0.02988305193146057,-0.022896408555809655,0.02927961397618728,-0.04581384407851952,-0.026499553944946297,0.09760050726787428,0.025403649657875782,-0.042700922139494835,-0.11347641806045394,-0.07855970803389589,-0.042671820461487764,-0.059005452246093104,-0.06492048949078355,0.12421580949251565,0.028301519560440358,0.23085245588280934,0.016773690264454855,0.1580861853200961,0.08369118905332096,-0.021506045250854866,0.004508963284616252,-0.01821567278126701,-0.031058216913292913,-0.0008221075475335349,-0.0156434473279099
150,1,9,-0.028529936872581985,-0.004080269130353198,-0.008846786452857192,0.053234736340598054,0.05485162172903424,-0.03239787352588597,0.09625698355269652,0.12237053040158452,-0.007025957573763009,-0.048246743392624025,0.034789349450802254,-0.02323552062265455,0.014179827212595919,0.0010874694617368785,-0.009503273075634033,-0.05730297930572936,-0.06306465456031185,-0.04507097709065688,0.007417303961712474,0.01059967191255895,0.12154801361766387,0.04602348883253615,-0.004887261004656307,0.010943904119435022,-0.0152993854695469
175,1,1,-0.04737908476153574,-0.01736565918805666,-0.04370467428177327,0.0038543196427895943,0.0480925018039593,0.032253277004691494,0.05054494775055174,-0.03164838125776237,-0.017498402393308687,-0.0643272254267987,-0.04042510675410238,-0.030740125038143273,-0.07012977149227007,-0.061450205008058645,-0.019791138341942682,0.0482953417010219,-0.027592575936776886,-0.04540644761507817,-0.04207334871124235,-0.015433252562855215,0.017845535730478312,-0.020004378965526426,0.0013435534012344874,0.002026356051179956,-0.0261359951304293
200,1,1,0.0004485868600667686,-0.03164689500802598,-0.019468653492358157,0.0035835686422827084,0.021942423466166927,0.0774490519353086,0.1420227888508936,0.10244694959350475,-0.03509610617798531,-0.0032258859690570407,-0.01616919749747403,-0.036319820353667764,0.020559994608311483,-0.018464577279792116,0.012741447161798591,0.0708952971443284,0.10847152408126748,0.08687326569497644,0.004934556557317116,-0.012524132207299754,0.002485644212294691,0.01797437774522792,-0.026599690146209665,-0.030377750880338672,0.03137782687049562
225,1,1,0.020579026812199697,-0.01959121206704817,-0.04420738121198342,-0.040388158998513446,-0.00629509528218497,-0.028740550262668862,-0.03417462865484733,-0.014365032611255324,-0.06538644080840406,0.006654289782398903,0.022828614753834575,0.0039490982447110135,-0.10036327495978703,-0.01796029494748752,-0.045969801505749586,0.0374858347765028,-0.0071130461124052635,0.007859549766112028,0.06163728639221455,0.03547493346508568,-0.022751051266996725,0.0027659727553033253,-0.04206761024073069,-0.04176310235326919,0.09417673831211815
