window,ppo,rsi,Date_to_use_on,Pct_Change_Vol_1,Pct_Change_Vol_2,Pct_Change_Vol_3,Pct_Change_Vol_4,Pct_Change_Vol_5,Pct_Change_Vol_6,Pct_Change_Vol_7,Pct_Change_Vol_8,Pct_Change_Vol_9,Pct_Change_Vol_10,Pct_Change_Vol_11,Pct_Change_Vol_12,Pct_Change_Vol_13,Pct_Change_Vol_14,Pct_Change_Vol_15,Pct_Change_Vol_16,Pct_Change_Vol_17,Pct_Change_Vol_18,Pct_Change_Vol_19,Pct_Change_Vol_20,Pct_Change_Vol_21,Pct_Change_Vol_22,Pct_Change_Vol_23,Pct_Change_Vol_24,Pct_Change_Vol_25
0,1,1,2001-07-17,-0.03277935282849043,0.01331107785161234,-0.0194481531067362,0.07256916003679481,0.1279019153868699,0.014976509528905835,-0.040713512673215324,-0.019822512008388804,0.03691272778934529,0.029415149203809943,-0.03129310077392877,-0.03336870489504351,0.0034727061761168354,0.005475736937288422,-0.0022597637542480786,-0.022051664706507768,-0.10161238783970428,-0.05671921797631707,0.06384617495569289,-0.007569291163860847,-0.0013033002823150674,0.11743193807355046,0.03625017078568615,0.005620192229396137,-0.048745945787459166
25,1,1,2001-08-21,-0.034500940943792635,-0.026273050334204795,0.01750713508535684,-0.04184561352593774,-0.013257856702420412,0.06289407048173334,0.04706904087682218,0.05088981869085618,-0.02577767368260364,-0.021320774015961552,0.0349601288079171,0.028929868435415562,0.01083790682137975,0.005337044910629807,-0.028682563777900127,-0.020239135731839886,0.07971790791274103,0.04729632509032311,-0.0018519173954346657,-0.05256398105685467,0.0357168539190309,-0.03550660029623398,0.0007328130868859972,0.013136947900353801,-0.005889829062125873
50,1,1,2001-10-02,0.05304038447328452,0.005601274771647402,-0.03587279318223435,0.009708743445981272,-0.05094015626837545,0.022071438319521297,0.0773294747028701,0.08079632978954443,0.042306701647616185,0.13427152351558047,0.06906623542133805,0.056372877273124455,0.1506692522323252,0.033120217751039904,0.09655069567998908,0.0014659685427609315,0.14726577456633372,0.06835469519822568,0.1320867566037227,-0.024219196463340364,-0.021435448953611602,-0.05508402234423926,-0.03836554791271862,-0.02703140947150262,-0.030899169037242435
75,1,1,2001-11-06,-0.030850693822876973,0.05121288067570462,0.04504741954394387,0.019710209942340073,-0.07975704466905009,-0.054676669003394185,-0.02260266174939707,0.0007138430076010227,0.05668840391453789,-0.04664837690004575,-0.04803985022309132,0.045960782229848895,-0.043348446876329993,-0.0005453822967066424,-0.031064415574391435,0.005539471091060788,-0.038426055363548706,0.05138253694356498,-0.021500861668370175,-0.017836036299650138,0.03973088046688278,0.04617072656945842,0.04878175463193446,-0.039921856762003216,-0.046300133049768655
100,1,1,2001-12-12,0.010714110667129573,-0.015753377760420073,0.006720251635364827,-0.04148354800445586,0.038401426008156436,-0.04521406795019656,-0.023147098842792202,-0.0055910013546056625,-0.014982207687026627,-0.04792577559492872,-0.021492958138003337,-0.058134132147923845,-0.09433638624145901,-0.01957475444243284,0.03833592433100863,0.04021641010243293,-0.002766480758559453,-0.027121180691998314,-0.008924292203193573,0.011782605698677173,0.0854762018254982,0.003375242693579583,0.010561160903856281,-0.03425051786439137,0.03226015328471532
125,1,1,2002-01-18,-0.01389896933441459,0.013130563330840062,-0.008998103901195376,-0.03212226532098317,-0.030450357768600278,0.033780603301254875,-0.019883652607599833,-0.024797957099340406,-0.09984226411995689,-0.045931025854526464,-0.05058713744141663,-0.03136771322648424,0.020648231482202073,0.06427406697101445,0.019138216809961195,0.06330435104244714,-0.02094907846339078,-0.022484268580502897,0.022139445808961877,-0.02092543027862448,-0.008715047750207372,-0.022469204727153413,0.06706812054849243,0.0209008823481851,0.019493622609437322
150,1,11,2002-02-26,0.013666715990345635,-0.04040311393397178,-0.028045616143165475,-0.027496667700387944,-0.0167780512491017,-0.03861361618891823,0.1599298789190935,0.18488832719725523,0.010121680557729551,-0.02471078488016254,0.04882468459962541,0.11407995246005598,0.05711103950632945,0.0048314070037993595,-0.024002078261696425,-0.024158682182235602,-0.05524608316868784,-0.028232080947647398,0.0037078047321266183,-0.012890821450616818,-0.029543706630892563,0.08042876506041452,0.04108361256450799,0.035416117062500696,-0.03375194232401457
175,1,1,2002-04-03,0.005239512236879129,0.048682339207916536,0.006578230586406164,0.022424527851615972,0.024536322166625935,-0.008337380054754928,-0.02374941724404933,-0.025959136302913577,-0.01848036065259906,-0.04574470015845278,-0.029454523846002112,-0.02551729804354652,-0.06821631038355158,0.02076749116359422,-0.01237958480595902,-0.007642595255520912,-0.013076201368923623,0.06156535805411045,-0.034235669295170745,-0.011589578494592967,0.010211902744658552,0.0010040541693061567,-0.011248509948451502,-0.008161258566691698,-0.023893391994767588
200,1,1,2002-05-08,0.06415780796068837,0.03417190132341319,-0.004034443684007294,-0.02617691494858465,-0.033470321089340005,-0.012199752545126175,0.05836908367634863,-0.03607277904767758,-0.011689828265674218,-0.029473525678224366,-0.043765886362184925,0.07072947461610468,-0.06647746488399287,-0.029736801938894608,0.0020338130040638003,0.01946507833776967,0.07505284719240257,0.011541458168339735,-0.00726148298417395,0.008381973978714097,0.04918430566098775,-0.030482966534812417,-0.006147993858893197,0.039261369145696,0.018438150382670493
225,1,1,2002-06-13,0.06170167141165295,-0.02232394423634565,-0.012824977829525741,-0.04325126795301948,0.11550602121417342,0.0546742754430789,0.0342030635426962,0.026247302338482825,-0.0665947316231329,-0.03980511330123948,-0.04234696670527427,-0.05185173562569123,-0.06179617375153057,0.04636893936113862,-0.03721557789652452,-0.004462126986030102,0.009455181242226551,0.05875898929586776,0.04541773795764503,-0.008651750713485451,0.017174007861036955,0.021692857165228174,-0.019612099050106524,-0.007943816654092162,0.07617633716515759
