window,ppo,rsi,Pct_Change_Vol_1,Pct_Change_Vol_2,Pct_Change_Vol_3,Pct_Change_Vol_4,Pct_Change_Vol_5,Pct_Change_Vol_6,Pct_Change_Vol_7,Pct_Change_Vol_8,Pct_Change_Vol_9,Pct_Change_Vol_10,Pct_Change_Vol_11,Pct_Change_Vol_12,Pct_Change_Vol_13,Pct_Change_Vol_14,Pct_Change_Vol_15,Pct_Change_Vol_16,Pct_Change_Vol_17,Pct_Change_Vol_18,Pct_Change_Vol_19,Pct_Change_Vol_20,Pct_Change_Vol_21,Pct_Change_Vol_22,Pct_Change_Vol_23,Pct_Change_Vol_24,Pct_Change_Vol_25
1837,1,3,0.008634628448140669,-0.04224072981929006,0.16297852430041448,-0.007166989999323414,-0.035302045448496244,-0.0037393203891522564,0.028919336356907355,0.09088002184957134,-0.012926817538080115,0.06707408532218828,-0.02867475532164221,-0.01014135416512485,-0.02017607504112795,-0.060879203443618746,0.004341649474626674,-0.02780106441350083,-0.01698289292876276,-0.03032610974565686,-0.03276652815213443,0.0008647047254231044,-0.020124571538626457,-0.04838932936723328,-0.05280370628735265,-0.07144160240435915,-0.053659492957654376
1862,1,6,-0.012119324339030513,0.0503342219719376,-0.02698625574604907,-0.036294780736670695,0.036561517998135784,0.05675947962249417,0.18913053933790658,0.13941187336220606,-0.0006846939069218294,0.040728394570770377,0.146258531159549,0.40157710162950555,0.40839383728722,0.15837297844753628,0.0014518288165128457,-0.02602959270027505,-0.06763192274678331,-0.03776536924153462,-0.02856851804226135,-0.029953624456343086,-0.048264942806094835,-0.06189062323563799,-0.04949529973122879,-0.04985285566819664,-0.07143978565533526
1887,1,1,-0.06396354796951165,-0.06741337661567892,-0.09071220890030096,-0.01362331096031355,-0.04688434091043492,-0.07269658268073154,0.005015793343092989,-0.048156446490944194,-0.06617157995025968,-0.1187190515805574,-0.1059334316009033,-0.08578579307273826,-0.06435137701718963,-0.03318471189162564,-0.012661739503194824,0.021210608885074755,-0.0034022629332042253,-0.012564877407258868,-0.010715466880989899,0.038807276092154064,0.2355794358168335,0.13928480573905544,0.3281421568571574,0.29495342904349275,0.07912062658751218
1912,1,4,0.040670243967273256,-0.001929303499720314,-0.010760876608494674,-0.022593866005858665,-0.04657372594453302,-0.060207093901905706,0.0576501266748195,-0.0653732616155055,-0.04152388693815623,-0.05286780644526523,-0.04943201981902534,-0.03190026891810771,-0.005078535274303686,0.025166032542342176,-0.03732747261180713,0.05188608639426362,-0.05032061516402819,-0.06193514239948661,-0.05312038904523764,-0.0033521416644775037,-0.007663904165844837,0.028866851052046227,0.3207431318325582,0.07201759643290684,0.043008453772584776
1937,1,1,0.07381067012746745,-0.027080494651975706,0.7765031313525723,0.14833803731845685,-0.02784044536886987,-0.032877312106996404,-0.003494560263501034,-0.0456623572598982,-0.08815448430222816,0.1800279784828518,0.06547456068426882,-0.030036453895153303,0.02458132711084504,0.19927853831189002,-0.014749402856664262,0.10971665451027302,0.0737861689075221,-0.05046190938097539,-0.008051743459571825,-0.05939896450746751,-0.030750393917527763,-0.06833974495089845,-0.06205230704190057,-0.05210814017475118,-0.08043975043553864
1962,1,6,-0.05363678144723438,-0.009237446006857053,-0.07614994002872033,-0.09507408958531383,-0.033243047004731796,-0.07614923193473522,0.04869342681256961,0.14199172605073196,0.2254688536456737,0.03515669213858952,0.026019926799907278,0.11208404050784826,0.024565518971613853,-0.00528605622220224,-0.05079747025518255,-0.07367271989118584,-0.07497550647667794,-0.10370572167456027,-0.05884501060709102,-0.08352092846639392,-0.06486773760834996,-0.0632897727733277,-0.03167742122087247,0.017682644680077075,0.18231929093456012
1987,1,1,0.18458853318038537,0.05848351296959131,-0.024905690396963664,-0.02478106683224479,-0.04578957945814888,-0.03820266603397027,-0.08328642721021584,-0.052351216231311004,-0.044157911010926365,-0.015842351333178017,-0.09118172719736528,-0.0995531327439414,-0.07076863547847834,-0.06860198891773872,-0.07259962748918702,-0.07140975438349206,-0.009663662427973785,0.020323195916244874,-0.025054314771070674,-0.011822052388916537,-0.03784691830577802,0.031124966415053024,-0.02375769138938788,0.047028411282896476,-0.05052386661798669
2012,1,4,-0.06466632306120224,-0.05791522311338937,-0.018372900578253137,0.0970484803679903,-0.0013429869298078323,-0.014182232044427256,-0.013436611725061165,0.014480554855231809,-0.06386639315566767,-0.04120278488747742,-0.07503598854017046,-0.06722598873136332,-0.05737178206550042,-0.07324617445342585,-0.03387688963285074,0.04547817009257926,0.0004097169442389692,0.057014717242072965,-0.04530288039524266,-0.004434409030092401,0.06903440294353036,0.050974327082930815,0.19101152097883478,0.09482770678196739,0.15123322119649352
2037,3,14,0.0785211825375669,0.04656930332631992,-0.004813569626569203,-0.0378581612904797,-0.0562575405446597,0.20567975724684984,0.3456384075295673,0.2312919410460299,0.14820693200721768,0.12654797798703,-0.009517990996100845,0.03569900128242143,0.4318124608512035,0.04310709217912145,0.12455775661920487,-0.029312215693390042,-0.0308305525472522,-0.01680421464755122,-0.047345943698700266,0.012114776932265148,-0.04292389575007716,-0.06741486910833594,-0.05661153508561878,0.030096229925679063,0.07652825662420781
2062,1,4,0.034389362219633623,-0.006546899203938028,-0.043945546810274405,0.0399399561040088,0.05456139034652696,-0.01532946683471259,0.03325911169170048,-0.011671021894373634,-0.06832312855724232,-0.06459335130640231,-0.004510144555209372,-0.020903937593763078,0.044711428559734534,-0.07566965741496146,-0.023825654903006255,0.08417838711556858,0.06368166234824568,0.026899606054604508,0.03676360947243418,-0.08342691668955138,-0.045050938661592266,-0.053300235226180104,-0.035966028131598105,-0.06898525154736712,-0.09152602284226963
13,1,1,0.005633851906776677,-0.026147211115149616,-0.03626795261198568,-0.07926734465399332,-0.04133533009908219,0.018491776926533143,0.0026495380621949227,0.009171618825834837,0.19882083242528403,0.0622069626044377,-0.027359993338469057,0.014966820732964736,0.010394224482479952,0.002066260619333793,-0.0003603823893404412,-0.0388182264674819,-0.04853154788025471,0.014733325665350128,0.010747156790744228,-0.0284474963045932,-0.0580421381632219,-0.056574142878331735,0.012505936608066204,-0.038012353160930434,-0.029619147402759838
