window,ppo,rsi,Date_to_use_on,Pct_Change_Vol_1,Pct_Change_Vol_2,Pct_Change_Vol_3,Pct_Change_Vol_4,Pct_Change_Vol_5,Pct_Change_Vol_6,Pct_Change_Vol_7,Pct_Change_Vol_8,Pct_Change_Vol_9,Pct_Change_Vol_10,Pct_Change_Vol_11,Pct_Change_Vol_12,Pct_Change_Vol_13,Pct_Change_Vol_14,Pct_Change_Vol_15,Pct_Change_Vol_16,Pct_Change_Vol_17,Pct_Change_Vol_18,Pct_Change_Vol_19,Pct_Change_Vol_20,Pct_Change_Vol_21,Pct_Change_Vol_22,Pct_Change_Vol_23,Pct_Change_Vol_24,Pct_Change_Vol_25
0,1,1,2001-07-17,-0.039037208976479,-0.023194578720485803,0.0006503774541508633,0.04149760874831321,0.2199021181198959,0.037839539198801786,0.05059815740971896,0.103259096376346,0.20273152607044786,-0.005081817247392761,-0.0509994173959859,-0.0039350389993202395,-0.014447445324268338,0.04974668873788324,0.18682744912978388,-0.003179682527524985,-0.0723367659305002,-0.040125906585883,-0.05201043171725461,-0.04042045161247232,-0.029744349568528228,0.0003414139465507393,-0.03328819687151108,-0.0797444436732897,-0.035304198621075256
25,1,1,2001-08-21,-0.0004963166113401973,-0.004856927643800413,0.011834229267038365,-0.002682723687457811,-0.009758404638774865,0.04987897933170382,-0.0064778922187342936,0.06250739295469199,0.03218283733973526,0.02424372581871892,0.003506902995586758,-0.03431587358111232,0.01214161994297891,-0.0203445391566226,0.018413957643497847,-0.027379315291836792,-0.00981637281510872,-0.0427326730956068,-0.055745226211814436,-0.053846981580368936,0.10455018424833651,0.06236201800189822,0.005966878102356299,0.05420838810888884,0.06194136818748386
50,1,1,2001-10-02,0.10580594407543242,0.039037444836783175,0.04840211646323844,0.008045881885723416,0.01610858540607185,0.0730933695065139,0.06939412212145668,0.09176352919228559,-0.02523020355545713,0.020537004190249952,0.13934304466375003,0.05092663942303455,-0.015522247216477214,-0.05898867459296131,0.18088182258848007,0.018340023380500448,0.015070334254125184,0.005196099485714534,0.06897891625862873,0.0015094821765513355,-0.02049520420535822,-0.053066993431689746,-0.06412127133721324,-0.01685602478254533,-0.06812005831918422
75,1,1,2001-11-06,-0.06738666291099893,0.0024575947496174866,-0.030632571113046736,-0.03827143006189804,-0.055687386085272794,-0.03649261470943599,0.0021454079313509844,0.049612148708151116,-0.011093221735499426,-0.06448771254171926,-0.03375655820732193,-0.02752152961389942,-0.023054017742662247,-0.030153495535951147,-0.006479975379335645,-0.023911597168598364,-0.035832364847345755,0.014037821795986671,-0.0518179556743843,0.00017322988393364547,-0.012633793415561811,0.0036553711617810514,0.03727923161114788,-0.03832918352545023,0.03330328446341535
100,1,11,2001-12-12,0.006862408262795272,0.07324873984366209,-0.007072052672837947,-0.04650616971934485,-0.01555780600374923,-0.03811691316436394,-0.03612455214508792,-0.027319233836183288,-0.02066030767531757,-0.06247143719328074,-0.04371559203642528,-0.06298727867751153,-0.10498545204017218,-0.006938265190865822,0.07647117656272018,0.023243035088845287,-0.0020886891723490564,-0.011183552110453632,-0.00161389000974832,-0.009407962222930055,0.021053978117480554,0.0007050978819760356,-0.029701775835183186,0.024667658393589198,0.020440854789557594
125,10,2,2002-01-18,-0.0008574646763637173,0.0030879603411926304,0.015256429131410565,0.004680034070843719,0.003128243245662743,-0.002226094251881805,-0.007982406234691486,0.12077394967980593,-0.08916335813129739,-0.020710298584842857,-0.03974526303501147,-0.036515883552722284,-0.03620212620314045,0.07726177155405733,0.2080445708037033,0.02915413966483893,0.03460472841133777,0.05504897498024253,0.010731199477652442,-0.04631202469022,-0.03429752610278014,-0.013114347411384952,-0.0341654391648325,-0.015527331686501333,0.00032652077696404547
150,1,1,2002-02-26,-0.016388919448751427,-0.0485326959692689,0.031974504516358415,0.014734239683861672,0.010267855511497892,0.017863484883302805,0.21245526248158497,0.45887215254100067,0.02368215586677902,-0.06035172802876576,-0.050186393289484044,0.0024423762447858266,-0.028635270781784294,0.027675117762141932,0.02863530956656435,-0.08154100054680602,-0.08290851993589543,-0.011286589646422707,-0.04572741572195471,0.028342183443488933,-0.032030142485872104,-0.007838429223861021,0.1395651061954708,0.022829117947778643,-0.0018310898616471505
175,1,1,2002-04-03,-0.04971924354584534,-0.029353583072558864,-0.02741434608782145,0.00426126217637024,-0.013970179746759848,-0.043595613526206,-0.029720420052908092,-0.0032115235063311376,-0.043901739580151644,-0.028435715991993016,-0.04005380867408781,-0.04610164541156769,-0.010359305957945764,0.042718166012556846,-0.004318345575604288,-0.048275580690459896,-0.01834048664043686,-0.03302700285065807,0.02403552655415786,-0.011497554260544218,-0.017891786679198995,-0.0278009509112902,-0.028380828407724934,-0.00016264017089839822,0.05862002556942536
200,1,1,2002-05-08,0.04217898292040401,0.001090533455464504,0.012329993781447168,-0.03137887361765168,0.0023867185382766554,0.0031398580008248356,0.026733667543104467,-0.033336117542169585,-0.030429278243277902,-0.012507995263812965,-0.03463460219092562,0.021315791106154336,0.020999394169255226,0.26443439698405835,0.024440764084894484,0.02337921692912781,0.06825753790578637,-0.02158597970068654,-0.028867629039849074,-0.008870928496952146,0.010427317593325824,-0.005235924741765374,-0.03621975148387213,-0.06542782408279213,0.037466135195902917
225,1,1,2002-06-13,0.006761675136314427,-0.052696846435410394,-0.043970633800368586,-0.02016754529436504,0.09133092089410644,0.2544406102850598,0.06322995039380519,-0.023708379555818615,-0.05768528609436463,-0.0662533175808282,-0.0562894428889702,-0.06121931045444806,-0.06866979401212892,-0.06907100509555575,-0.07093441686658541,-0.0010716384955110625,0.013012621183476458,0.05594153068730723,0.09231243652809917,0.008498745839991884,0.004137925589736469,0.04380054526971966,-0.006822113969733756,-0.010351580906178603,0.013624929302671784
250,1,3,2002-07-19,-0.033626751920104225,0.04069234179513792,0.0966294632090492,0.00038418657690963975,-0.012161855637169428,-0.026148977230306403,0.01934626259642669,0.001792009535380723,-0.016532065653569572,0.0016723713150461617,-0.0056980131968968895,0.04701106831473845,-0.05057623912391018,0.024866323283641467,-0.023121980498645,-0.09055370619832326,-0.04354150937160972,-0.024186334599605952,0.123226019404858,0.09228014293392284,-0.019542272946138972,0.006438623617257555,0.02995740097420696,0.03576205951302702,0.0901201586582343
275,1,1,2002-08-23,0.04382848248520177,0.047774502513294514,0.14326049141780084,0.21233780509523337,0.06088150867217368,-0.04090647311542861,0.02928215442728943,-0.029907739827229496,-0.02308733330962054,-0.04315667857521133,-0.05415278945473989,-0.06230743698937924,-0.030899523240703997,-0.030101185696776445,-0.028517100155589503,-0.049977133553271935,-0.0678464943179854,-0.003500819882244266,0.002368701566350717,-0.037695540372541525,-0.04052894467853663,-0.025454239210477847,-0.029953987485080935,-0.057139827449583236,-0.045320335318460025
300,1,9,2002-09-30,-0.04557462667351553,-0.06893232099746238,-0.007781565435915572,0.016217479783302124,-0.0004834514314154825,-0.04721959407038645,0.027987540021294333,0.013456077041637204,0.02820721850488961,-0.020662061421319544,-0.008463781698546335,-0.03125396365834188,-0.0509621743838492,-0.0008091721571893418,0.043316126256442544,-0.0032310939682284046,0.03180165360910814,0.034281142358567385,0.018595345157259358,0.13477914774429212,-0.025616472943350233,0.04386854128615747,0.022994133620705792,0.020735253266288556,-0.003781341624916612
325,1,2,2002-11-04,0.0753917107714297,0.011459329436561028,0.015996425058124153,0.02023410070903653,0.015875683154371822,-0.019306551526147797,0.018212403645059272,-0.005987772563565641,0.02166054579128196,0.04198881028732937,-0.03815195735075638,0.04475661625020799,-0.015200389945579706,-0.01569294061033799,-0.018990062916380612,-0.02770711793522662,-0.06830492608566796,-0.008116108476001638,0.027947984531302428,-0.02600921244676302,-0.02942478898689782,-0.028951011582866282,0.0005416779388207615,-0.004294602863294639,-0.009877453235970113
350,1,1,2002-12-10,0.021355998588095337,-0.05018567030050025,-0.024925555284437517,-0.03429828252009315,-0.01251114573115808,-0.07032224506245277,-0.04341904846978195,0.0018853951078126041,-0.019315600919545317,0.07880692795819555,-0.006654605453510265,-0.01833375965713624,0.026723049851763214,0.08533843634908855,0.029611603787551566,-0.023105706948060467,0.011555115036334884,-0.022177096908993166,-0.0956087264225477,0.01652749982493229,-0.03606185133778028,-0.00229132771021745,-0.027533453283184794,0.010838683094413604,0.03142752742146793
375,1,3,2003-01-16,-0.02101919457297874,-0.014012740379849564,-0.027090647240451626,0.01156122920853564,0.03172327050661483,-0.011501538198029015,0.06324777467086484,0.010850029979574627,0.09030567386706956,-0.0413169377266005,-0.11637498283370484,-0.04719342551913275,-0.01746865862681035,0.0038920382671672193,0.014191212050234991,0.03688125547391219,-0.03971686831046661,0.005352515705554062,0.00960520425432776,-0.04998473889903221,-0.016856246522626628,-0.004333997001441103,0.010738144175827635,-0.0023353316239115296,0.02585277803380337
