window,ppo,rsi,Date_to_use_on,Pct_Change_Vol_1,Pct_Change_Vol_2,Pct_Change_Vol_3,Pct_Change_Vol_4,Pct_Change_Vol_5,Pct_Change_Vol_6,Pct_Change_Vol_7,Pct_Change_Vol_8,Pct_Change_Vol_9,Pct_Change_Vol_10,Pct_Change_Vol_11,Pct_Change_Vol_12,Pct_Change_Vol_13,Pct_Change_Vol_14,Pct_Change_Vol_15,Pct_Change_Vol_16,Pct_Change_Vol_17,Pct_Change_Vol_18,Pct_Change_Vol_19,Pct_Change_Vol_20,Pct_Change_Vol_21,Pct_Change_Vol_22,Pct_Change_Vol_23,Pct_Change_Vol_24,Pct_Change_Vol_25
0,1,1,2001-07-17,-0.07165202483882349,-0.007077111434283467,-0.01599483128590351,0.01044830750081216,0.15455221666914376,-0.0283781077665114,0.010469658968093263,0.08391342618152553,0.06831941857770696,0.02696374566521409,-0.04071792672262764,-0.010168973339468312,-0.0296024449619966,-0.025454315796253343,0.02067894377915169,-0.05330932507317998,-0.0890181733514055,-0.0895695361797395,-0.008438192212548934,-0.04107427215090231,0.042631766500980994,0.07233247761703088,0.028062271634817337,-0.01451114127435571,0.14187177333442855
1,1,1,2001-07-18,-0.007077111434283467,-0.01599483128590351,0.01044830750081216,0.15455221666914376,-0.0283781077665114,0.010469658968093263,0.08391342618152553,0.06831941857770696,0.02696374566521409,-0.04071792672262764,-0.010168973339468312,-0.0296024449619966,-0.025454315796253343,0.02067894377915169,-0.05330932507317998,-0.0890181733514055,-0.0895695361797395,-0.008438192212548934,-0.04107427215090231,0.042631766500980994,0.07233247761703088,0.028062271634817337,-0.01451114127435571,0.14187177333442855,0.1597748530199996
2,1,1,2001-07-19,-0.01599483128590351,0.01044830750081216,0.15455221666914376,-0.0283781077665114,0.010469658968093263,0.08391342618152553,0.06831941857770696,0.02696374566521409,-0.04071792672262764,-0.010168973339468312,-0.0296024449619966,-0.025454315796253343,0.02067894377915169,-0.05330932507317998,-0.0890181733514055,-0.0895695361797395,-0.008438192212548934,-0.04107427215090231,0.042631766500980994,0.07233247761703088,0.028062271634817337,-0.01451114127435571,0.14187177333442855,0.1597748530199996,0.12608668679643809
3,1,1,2001-07-20,0.01044830750081216,0.15455221666914376,-0.0283781077665114,0.010469658968093263,0.08391342618152553,0.06831941857770696,0.02696374566521409,-0.04071792672262764,-0.010168973339468312,-0.0296024449619966,-0.025454315796253343,0.02067894377915169,-0.05330932507317998,-0.0890181733514055,-0.0895695361797395,-0.008438192212548934,-0.04107427215090231,0.042631766500980994,0.07233247761703088,0.028062271634817337,-0.01451114127435571,0.14187177333442855,0.1597748530199996,0.12608668679643809,0.007530339148350995
4,1,1,2001-07-23,0.15455221666914376,-0.0283781077665114,0.010469658968093263,0.08391342618152553,0.06831941857770696,0.02696374566521409,-0.04071792672262764,-0.010168973339468312,-0.0296024449619966,-0.025454315796253343,0.02067894377915169,-0.05330932507317998,-0.0890181733514055,-0.0895695361797395,-0.008438192212548934,-0.04107427215090231,0.042631766500980994,0.07233247761703088,0.028062271634817337,-0.01451114127435571,0.14187177333442855,0.1597748530199996,0.12608668679643809,0.007530339148350995,-0.05940668677609395
5,1,1,2001-07-24,-0.0283781077665114,0.010469658968093263,0.08391342618152553,0.06831941857770696,0.02696374566521409,-0.04071792672262764,-0.010168973339468312,-0.0296024449619966,-0.025454315796253343,0.02067894377915169,-0.05330932507317998,-0.0890181733514055,-0.0895695361797395,-0.008438192212548934,-0.04107427215090231,0.042631766500980994,0.07233247761703088,0.028062271634817337,-0.01451114127435571,0.14187177333442855,0.1597748530199996,0.12608668679643809,0.007530339148350995,-0.05940668677609395,-0.09815665816031892
6,1,1,2001-07-25,0.010469658968093263,0.08391342618152553,0.06831941857770696,0.02696374566521409,-0.04071792672262764,-0.010168973339468312,-0.0296024449619966,-0.025454315796253343,0.02067894377915169,-0.05330932507317998,-0.0890181733514055,-0.0895695361797395,-0.008438192212548934,-0.04107427215090231,0.042631766500980994,0.07233247761703088,0.028062271634817337,-0.01451114127435571,0.14187177333442855,0.1597748530199996,0.12608668679643809,0.007530339148350995,-0.05940668677609395,-0.09815665816031892,-0.04191056036565821
7,1,6,2001-07-26,0.08391342618152553,0.06831941857770696,0.02696374566521409,-0.04071792672262764,-0.010168973339468312,-0.0296024449619966,-0.025454315796253343,0.02067894377915169,-0.05330932507317998,-0.0890181733514055,-0.0895695361797395,-0.008438192212548934,-0.04107427215090231,0.042631766500980994,0.07233247761703088,0.028062271634817337,-0.01451114127435571,0.14187177333442855,0.1597748530199996,0.12608668679643809,0.007530339148350995,-0.05940668677609395,-0.09815665816031892,-0.04191056036565821,-0.012158394730567791
8,1,8,2001-07-27,0.06831941857770696,0.02696374566521409,-0.04071792672262764,-0.010168973339468312,-0.0296024449619966,-0.025454315796253343,0.02067894377915169,-0.05330932507317998,-0.0890181733514055,-0.0895695361797395,-0.008438192212548934,-0.04107427215090231,0.042631766500980994,0.07233247761703088,0.028062271634817337,-0.01451114127435571,0.14187177333442855,0.1597748530199996,0.12608668679643809,0.007530339148350995,-0.05940668677609395,-0.09815665816031892,-0.04191056036565821,-0.012158394730567791,-0.06059402862057106
9,1,8,2001-07-30,0.02696374566521409,-0.04071792672262764,-0.010168973339468312,-0.0296024449619966,-0.025454315796253343,0.02067894377915169,-0.05330932507317998,-0.0890181733514055,-0.0895695361797395,-0.008438192212548934,-0.04107427215090231,0.042631766500980994,0.07233247761703088,0.028062271634817337,-0.01451114127435571,0.14187177333442855,0.1597748530199996,0.12608668679643809,0.007530339148350995,-0.05940668677609395,-0.09815665816031892,-0.04191056036565821,-0.012158394730567791,-0.06059402862057106,-0.07698268016455934
