,window,ppo,rsi
262,328,1,8
345,329,1,8
428,330,1,8
511,331,1,8
594,332,1,8
677,333,1,8
760,334,1,8
843,335,1,8
926,336,1,8
1009,337,1,8
1092,338,1,8
1175,339,1,8
1258,340,1,8
1341,341,1,8
1424,342,1,8
1507,343,1,1
1590,344,1,1
1673,345,1,1
1756,346,1,1
1839,347,1,1
1922,348,1,1
2005,349,1,1
14,350,1,1
97,351,1,1
180,352,1,1
263,353,1,1
346,354,1,1
429,355,1,1
512,356,1,1
595,357,1,1
678,358,1,1
761,359,1,1
844,360,1,1
927,361,1,1
1010,362,1,1
1093,363,1,1
1176,364,1,1
1259,365,1,1
1342,366,1,1
1425,367,1,1
1508,368,1,1
1591,369,1,1
1674,370,1,1
1757,371,1,1
1840,372,1,1
1923,373,1,1
2006,374,1,1
15,375,1,1
98,376,1,1
181,377,1,1
264,378,1,1
347,379,1,1
430,380,1,1
513,381,1,1
596,382,1,1
679,383,1,1
762,384,1,1
845,385,1,1
928,386,1,1
1011,387,1,1
1094,388,1,1
1177,389,1,1
1260,390,1,1
1343,391,1,1
1426,392,1,1
1509,393,1,1
1592,394,1,1
1675,395,1,1
1758,396,1,1
1841,397,1,1
1924,398,1,1
2007,399,1,1
16,400,1,1
99,401,1,1
182,402,1,1
265,403,1,1
348,404,1,1
431,405,1,1
514,406,1,1
597,407,1,1
680,408,1,1
763,409,1,1
846,410,1,1
929,411,1,1
1012,412,1,1
1095,413,1,1
1178,414,1,1
1261,415,1,1
1344,416,1,1
1427,417,1,1
1510,418,1,1
1593,419,1,1
1676,420,1,1
1759,421,1,1
1842,422,1,1
1925,423,1,1
2008,424,1,1
17,425,1,1
100,426,1,1
183,427,1,1
266,428,1,1
349,429,1,1
432,430,1,1
515,431,1,1
598,432,1,1
681,433,1,6
764,434,1,6
847,435,1,6
930,436,1,6
1013,437,1,6
1096,438,1,6
1179,439,1,6
1262,440,1,6
1345,441,1,6
1428,442,1,6
1511,443,1,6
1594,444,1,6
1677,445,1,6
1760,446,1,6
1843,447,1,6
1926,448,1,6
2009,449,1,6
18,450,1,6
101,451,1,6
184,452,1,6
267,453,1,6
350,454,1,6
433,455,1,6
516,456,1,6
599,457,1,6
682,458,1,1
765,459,1,1
848,460,1,1
931,461,1,1
1014,462,1,1
1097,463,1,1
1180,464,1,1
1263,465,1,1
1346,466,1,1
1429,467,1,1
1512,468,1,1
1595,469,1,1
1678,470,1,1
1761,471,1,1
1844,472,1,1
1927,473,1,1
2010,474,1,1
19,475,1,1
102,476,1,1
185,477,1,1
268,478,1,1
351,479,1,1
434,480,1,1
517,481,1,5
600,482,1,5
683,483,1,5
766,484,1,5
849,485,1,5
932,486,1,5
1015,487,1,5
1098,488,1,5
1181,489,1,5
1264,490,1,11
1347,491,1,11
1430,492,5,7
1513,493,5,7
1596,494,5,7
1679,495,5,7
1762,496,5,7
1845,497,5,7
