Date,pos_k_hl,neg_k_hl,POS_DI14,NEG_DI14,ADX,pos_k_hl_copy,neg_k_hl_copy
2001-04-23,0.0,0.0,,,,0.0,0.0
2001-04-24,0.0,0.0,,,,0.0,0.0
2001-04-25,0.0,0.0,,,,0.0,0.0
2001-04-26,0.0,0.0,,,,0.0,0.0
2001-04-27,0.0,0.0,,,,0.0,0.0
2001-04-30,0.0,0.0,,,,0.0,0.0
2001-05-01,0.0,0.0,,,,0.0,0.0
2001-05-02,0.0,0.0,,,,0.0,0.0
2001-05-03,0.0,0.0,,,,0.0,0.0
2001-05-04,0.0,0.0,,,,0.0,0.0
2001-05-07,0.0,0.0,,,,0.0,0.0
2001-05-08,0.0,0.0,,,,0.0,0.0
2001-05-09,0.0,0.0,,,,0.0,0.0
2001-05-10,0.0,0.0,,,,0.0,0.0
2001-05-11,0.0,0.0,23.02228894815838,26.908351150485643,,0.0,0.0
2001-05-14,0.0,0.0,21.898994493371386,27.64592553950717,,0.0,0.0
2001-05-15,0.0,0.0,27.95351199101583,23.995457238977608,,0.0,0.0
2001-05-16,0.0,0.0,30.9325874583812,22.817152916265645,,0.0,0.0
2001-05-17,0.0,0.0,26.284893374332572,22.663385739125623,,0.0,0.0
2001-05-18,0.0,0.0,24.59914984595776,23.27917146480894,,0.0,0.0
2001-05-21,0.0,0.0,25.235854701189695,24.00482508851963,,0.0,0.0
2001-05-22,0.0,0.0,33.321411369637254,22.328777037167832,,0.0,0.0
2001-05-23,0.0,0.0,36.2008457409113,18.157342439230696,,0.0,0.0
2001-05-24,0.0,0.0,36.96349611144176,18.224671637432152,,0.0,0.0
2001-05-25,0.0,0.0,36.56712947151168,19.442195231960014,,0.0,0.0
2001-05-29,0.0,0.0,37.01409345159886,19.988778877717127,,0.0,0.0
2001-05-30,0.0,0.0,36.29546909095119,19.65768921037652,,0.0,0.0
2001-05-31,0.0,0.0,34.83398724031266,19.83124840091589,18.519960171378948,0.0,0.0
2001-06-01,0.0,0.0,34.32615925329521,9.346245893192693,21.2827052805013,0.0,0.0
2001-06-04,0.0,0.0,35.30817481541853,9.613626780370314,23.848111453257772,0.0,0.0
2001-06-05,0.0,0.0,36.37470737887822,9.511622808964193,26.326294473239106,0.0,0.0
2001-06-06,0.0,0.0,28.804008981992087,10.84454872190903,27.68131839919173,0.0,0.0
2001-06-07,0.0,0.0,24.3831003920786,13.193606551467392,27.83106275104333,0.0,0.0
2001-06-08,0.0,0.0,25.056963017682065,13.558231156582796,27.97011107776268,0.0,0.0
2001-06-11,0.0,0.0,26.38079614567427,11.58890974659433,28.75489413931876,0.0,0.0
2001-06-12,0.0,0.0,14.420584699945502,15.336153036207016,26.920747685584782,0.0,0.0
2001-06-13,0.0,0.0,14.933315049259212,15.51210166031314,25.13362736469356,0.0,0.0
2001-06-14,0.0,0.0,10.892785679464646,22.81745997308307,25.86508509486277,0.0,0.0
2001-06-15,0.0,0.0,10.772913118184118,23.473549931187392,26.666577666469504,0.0,0.0
2001-06-18,0.0,0.0,15.43799289052722,22.82614787089322,26.14098638399421,0.0,0.0
2001-06-19,0.0,0.0,18.24054105763315,19.180171559842265,24.453129528142124,0.0,0.0
2001-06-20,0.0,0.0,23.96871622351707,18.606549215781246,23.60608878998589,0.0,0.0
2001-06-21,0.0,0.0,25.83629605978064,16.758653846009928,23.44219285476991,0.0,0.0
2001-06-22,0.0,0.0,29.653707361182896,16.821722548369188,23.73991159517333,0.0,0.0
2001-06-25,0.0,0.0,23.58668140301742,17.676436516689833,23.067297297827093,0.0,0.0
2001-06-26,0.0,0.0,23.92044350406438,22.875610010095066,21.579114525130848,0.0,0.0
2001-06-27,0.0,0.0,26.716645104651843,20.482721914093872,20.981152166866792,0.0,0.0
2001-06-28,0.0,0.0,26.66219712851728,21.385252798041122,20.266982519650913,0.0,0.0
2001-06-29,0.0,0.0,26.025497112901558,26.305307466243853,18.857533432642924,0.0,0.0
2001-07-02,0.0,0.0,29.03449224952596,22.87390020330643,18.3582953596394,0.0,0.0
2001-07-03,0.0,0.0,26.5073872955981,23.673611809754874,17.450353443937704,0.0,0.0
2001-07-05,0.0,0.0,28.722308626222333,16.596460326747394,18.115098984752787,0.0,0.0
2001-07-06,0.0,0.0,26.87304830163249,25.211365679102308,17.049046517285046,0.0,0.0
2001-07-09,0.0,0.0,22.234191196318264,25.81274424842932,16.363260052253715,0.0,0.0
2001-07-10,0.0,0.0,18.453849992456764,32.53259209220822,17.166792710787533,0.0,0.0
2001-07-11,0.0,0.0,11.29171756108324,39.7340520859651,19.922101667787928,0.0,0.0
2001-07-12,0.0,0.0,20.29412978319049,38.327617959267286,20.6964125477838,0.0,0.0
2001-07-13,0.0,0.0,21.4943494424532,38.26916559713656,21.223001450025574,0.0,0.0
2001-07-16,0.0,0.0,31.90099049840572,37.84684526077273,20.3159861656328,0.0,0.0
2001-07-17,0.0,0.0,39.15035023477594,30.205873112037807,19.786017901885433,0.0,0.0
2001-07-18,0.0,0.0,37.33665926966568,30.52122926508932,19.090136710061415,0.0,0.0
2001-07-19,0.0,0.0,38.543641196260154,29.10144915646996,18.72358617316684,0.0,0.0
2001-07-20,0.0,0.0,39.60833356088436,28.51205054977018,18.549703271281725,0.0,0.0
2001-07-23,0.0,0.0,39.0243057898228,29.04018030342929,18.272483527324678,0.0,0.0
2001-07-24,0.0,0.0,39.50356179880446,32.526336482712935,17.659203870474347,0.0,0.0
2001-07-25,0.0,0.0,39.20618958117459,34.187826003275326,16.886229670910193,0.0,0.0
2001-07-26,0.0,0.0,44.09908567476125,23.675956970277724,17.832477623115032,0.0,0.0
2001-07-27,0.0,0.0,49.006465752784024,24.257408303572003,18.971637139001924,0.0,0.0
2001-07-30,0.0,0.0,50.88985858517869,17.871035904693652,21.04650369885162,0.0,0.0
2001-07-31,0.0,0.0,54.64001901036267,8.791985999718637,24.705969309173433,0.0,0.0
2001-08-01,0.0,0.0,42.1602912957653,12.96326357276124,26.724579944372287,0.0,0.0
2001-08-02,0.0,0.0,37.894710629824154,13.410799158476214,28.22438119609483,0.0,0.0
2001-08-03,0.0,0.29052473371922494,26.298445638968158,15.602935408642207,28.031599401130187,0.0,0.0
2001-08-06,0.0,0.08640734153676258,15.88689390032191,15.697073244434636,26.072271101651104,0.0,0.0
2001-08-07,0.0,0.0,16.372402808263907,16.242036216155704,24.238517485794894,0.0,0.0
2001-08-08,0.0,0.0,17.005515200108878,16.100304513434306,22.702501575297536,0.0,0.0
2001-08-09,0.0,0.0,17.555697877812957,12.816353668514322,22.19548674665104,0.0,0.0
2001-08-10,0.0,0.0,16.620489311928193,14.449675254994473,21.10915285239552,0.0,0.0
2001-08-13,0.0,0.0,16.852476081162155,10.936921976690623,21.12186263051609,0.0,0.0
2001-08-14,0.0,0.0,18.716500372850508,9.49486697746803,21.947990394887718,0.0,0.0
2001-08-15,0.0,0.0,13.695938994660725,9.663641893331137,21.61326647475352,0.0,0.0
2001-08-16,0.0,0.0,8.700762984268438,11.167152283612799,20.95617108616279,0.0,0.0
2001-08-17,0.0,0.0,9.419796459830456,10.451205301720151,19.830053338808288,0.0,0.0
2001-08-20,0.0,0.0,8.092121321275789,10.603464987631018,19.373107798316067,0.0,0.0
2001-08-21,0.0,0.0,16.744291002280765,5.603958589169368,21.54994237092766,0.0,0.0
2001-08-22,0.0,0.0,15.99681819684905,8.901473909668054,22.04618314561935,0.0,0.0
2001-08-23,0.0,0.0,21.24704094628091,6.911701126488124,24.10781439674057,0.0,0.0
2001-08-24,0.0,0.0,19.24301741448896,13.86717954461057,23.54555624090587,0.0,0.0
2001-08-27,0.0,0.0,19.724092040667237,16.655832598458936,22.46615477182049,0.0,0.0
2001-08-28,0.0,0.0,16.510161967470356,22.159976724452367,21.905020715047726,0.0,0.0
2001-08-29,0.0,0.0,15.756285309447561,31.931854599109105,22.763196409863745,0.0,0.0
2001-08-30,0.0,0.0,15.758427139170198,32.415561918780696,23.607041685702878,0.0,0.0
2001-08-31,0.0,0.0,22.142081393039337,30.87167413827664,23.09701413527091,0.0,0.0
2001-09-04,0.0,0.0,22.814263832812948,29.145477969817414,22.317573501440986,0.0,0.0
2001-09-05,0.0,0.0,22.91269111864726,29.27121993159778,21.593807198598924,0.0,0.0
2001-09-06,0.0,0.0,21.613145959502347,37.33175150103078,21.95615020989436,0.0,0.0
2001-09-07,0.0,0.0,20.712099086648134,41.06876283088469,22.74141013503819,0.0,0.0
2001-09-10,0.0,0.0,20.38570224195464,44.084026821348864,23.742655128116034,0.0,0.0
2001-09-17,0.0,1.0,13.156577898551314,59.008135818987796,26.58513444075919,0.0,1.0
2001-09-18,0.0,0.0,13.172747880505801,57.507786373052426,29.166621460140682,0.0,0.0
2001-09-19,0.0,0.0,15.847150924423154,54.69372029928842,31.016833580674728,0.0,0.0
2001-09-20,0.0,0.0,15.399381404727453,53.19374661927023,32.737013067561634,0.0,0.0
2001-09-21,0.0,1.0,14.455395114799005,59.95368000632275,34.76623715378083,0.0,1.0
2001-09-24,0.0,0.0,19.340219822026746,55.335666397321795,35.72595132501535,0.0,0.0
2001-09-25,0.0,0.0,23.513777800235747,46.57773483001726,35.52448993941444,0.0,0.0
2001-09-26,0.0,0.0,25.16864238441401,45.94931411059633,35.074169715403485,0.0,0.0
2001-09-27,0.0,0.0,24.59523196827549,44.755271391477926,34.64528480449529,0.0,0.0
2001-09-28,0.0,0.0,28.530014411853358,45.96271956124141,33.842184934640805,0.0,0.0
2001-10-01,0.0,0.0,31.396581951836023,46.90470176030305,32.839579092315304,0.0,0.0
2001-10-02,0.0,0.0,33.539296764616914,38.172736909143225,30.955407386655803,0.0,0.0
2001-10-03,0.0,0.0,36.796981206600364,34.74080530681362,28.9496105373951,0.0,0.0
2001-10-04,0.0,0.0,36.5425337507035,33.81990653643279,27.15816925733471,0.0,0.0
2001-10-05,0.0,0.0,34.11736974517463,28.715775904874626,25.832351935420398,0.0,0.0
2001-10-08,0.0,0.0,33.47704009029634,34.64620330648829,24.10977302143237,0.0,0.0
2001-10-09,0.0,0.0,26.720762972991142,40.23294795543811,23.82917374989825,0.0,0.0
2001-10-10,0.0,0.0,28.958665181097334,33.9415450293908,22.692938558776582,0.0,0.0
2001-10-11,0.0,0.0,29.587042460985185,24.532871071600994,21.739074277869946,0.0,0.0
2001-10-12,0.0,0.0,24.981363500226717,31.777737824012164,21.04157394711992,0.0,0.0
2001-10-15,0.0,0.0,25.056394526723427,30.483502331415448,20.2365721097078,0.0,0.0
2001-10-16,0.0,0.0,33.721552291161885,30.44793716948821,19.155496489603575,0.0,0.0
2001-10-17,0.0,0.0,30.71513792698925,30.46855741984707,17.816033647164172,0.0,0.0
2001-10-18,0.0,0.0,26.65247172236165,31.62465896353457,17.152886235729348,0.0,0.0
2001-10-19,0.0,0.0,24.48459901122703,36.636207562103,17.347772656630376,0.0,0.0
2001-10-22,0.0,0.0,28.49468654430262,36.56877726913389,16.995043306838966,0.0,0.0
2001-10-23,0.0,0.0,29.89593963772828,37.649492587179104,16.601041565425042,0.0,0.0
2001-10-24,0.0,0.0,31.69562756400973,37.81645001681364,16.044210638857088,0.0,0.0
2001-10-25,0.0,0.0,35.6431761125205,26.96184272860546,15.888683661412465,0.0,0.0
2001-10-26,0.0,0.0,37.58869929880213,20.459668156514443,16.861506598716034,0.0,0.0
2001-10-29,0.0,0.0,38.21210408725012,18.98512360727716,18.058201231883984,0.0,0.0
2001-10-30,0.0,0.0,34.09978153868445,23.508807161121677,18.081498787675603,0.0,0.0
2001-10-31,0.0,0.0,35.864283397994384,23.747445275910696,18.24183925307044,0.0,0.0
2001-11-01,0.0,0.0,35.30993477683372,16.87698309170744,19.461780733268768,0.0,0.0
2001-11-02,0.0,0.0,32.71095559434793,17.040333385293252,20.321505111222987,0.0,0.0
2001-11-05,0.0,0.0,25.70567104755473,17.314527049372202,20.26319234312152,0.0,0.0
2001-11-06,0.0,0.0,24.878794782788933,17.776600093374487,20.00511913916174,0.0,0.0
2001-11-07,0.0,0.0,30.184568022753385,18.034027628620006,20.376101219091503,0.0,0.0
2001-11-08,0.0,0.0,34.18280586561609,12.013705324888539,22.34842898833707,0.0,0.0
2001-11-09,0.0,0.0,28.03687526262798,13.597698209843994,23.229308153596612,0.0,0.0
2001-11-12,0.0,0.0,24.35041456106227,16.974239337806832,22.845024237863523,0.0,0.0
2001-11-13,0.0,0.0,28.54866186695722,17.646611589603232,22.898945780876442,0.0,0.0
2001-11-14,0.0,0.0,23.525505151393588,19.471035935741106,21.93686084681389,0.0,0.0
2001-11-15,0.0,0.0,23.496847179554173,20.188830260910805,20.91082182717486,0.0,0.0
2001-11-16,0.0,0.0,24.164898135527743,18.711593809325663,20.325665594403013,0.0,0.0
2001-11-19,0.0,0.0,29.328654399116306,13.074264315228104,21.61191711657897,0.0,0.0
2001-11-20,0.0,0.0,28.623893292866914,13.578042604335508,22.61478297279215,0.0,0.0
2001-11-21,0.0,0.0,32.815658178912514,11.788166479528416,24.36678416472878,0.0,0.0
2001-11-23,0.0,0.0,31.72866457852389,11.77889789206908,25.901553936934558,0.0,0.0
2001-11-26,0.0,0.0,27.748503444502873,12.271277526566806,26.81386719807025,0.0,0.0
2001-11-27,0.0,1.0,27.690670930823078,19.747571229385446,26.094597057873024,0.0,0.0
2001-11-28,0.0,0.22770548185247247,20.290227383552704,25.809634666807703,25.085891535080837,0.0,0.22770548185247247
2001-11-29,0.0,0.05184978646566665,15.991682787413843,25.32879304396738,24.908100142385386,0.0,0.0
2001-11-30,0.0,0.01180648061111243,16.03689062960499,28.814691920794374,25.163884108518328,0.0,0.01180648061111243
2001-12-03,0.0,0.0,16.112532857873852,29.262449101579232,25.43650261425838,0.0,0.0
2001-12-04,0.0,0.0,14.648581391177585,28.340716786274573,25.89461686880693,0.0,0.0
2001-12-05,0.0,0.0,18.18513297793101,27.484384986333836,25.499433822230007,0.0,0.0
2001-12-06,0.0,0.0,19.42319316698813,27.59864511542081,24.919938554600378,0.0,0.0
2001-12-07,0.0,0.0,20.60627341602796,23.755949278037033,23.647079046357998,0.0,0.0
2001-12-10,0.0,0.0,15.028058333386044,28.647256091945,24.18534676053821,0.0,0.0
2001-12-11,0.0,0.0,14.585758595264744,29.374127698718084,24.860721926095554,0.0,0.0
2001-12-12,0.0,0.0,11.252968653660636,30.21637109382111,26.35129393727413,0.0,0.0
2001-12-13,0.0,0.0,8.721625111850624,33.87607890593821,28.687001244747304,0.0,0.0
2001-12-14,0.0,0.0,8.932118416137849,37.144552111156685,31.01145284058309,0.0,0.0
2001-12-17,0.0,0.0,15.533080903265741,28.364775405144407,30.884263338965788,0.0,0.0
2001-12-18,0.0,0.0,18.037398842963768,21.974766142017817,29.381132067033576,0.0,0.0
2001-12-19,0.0,0.0,20.15595403496898,21.734738040455838,27.55168107285533,0.0,0.0
2001-12-20,0.0,0.0,20.60850802768688,17.11097162039191,26.24602483823435,0.0,0.0
2001-12-21,0.0,0.0,20.310662817356643,20.045510699716033,24.418239483934716,0.0,0.0
2001-12-24,0.0,0.0,17.695526865244354,20.83774723276385,23.256548353823295,0.0,0.0
2001-12-26,0.0,0.0,18.439886743246532,20.99483456593813,22.05814701265484,0.0,0.0
2001-12-27,0.0,0.0,19.586467095391107,21.214031418234484,20.76749933330879,0.0,0.0
2001-12-28,0.0,0.0,22.529592336423914,21.39745258692512,19.468200685152034,0.0,0.0
2001-12-31,0.0,0.0,22.960891398360943,16.845682189354857,19.174922774419233,0.0,0.0
2002-01-02,0.0,0.0,23.29434861093957,19.431456915931047,18.451079777007283,0.0,0.0
2002-01-03,0.0,0.0,28.108927609472083,19.523331071853736,18.420627798680368,0.0,0.0
2002-01-04,0.0,0.0,29.70949429225913,16.242745894082947,19.19815203564753,0.0,0.0
2002-01-07,0.0,0.0,30.117445070122102,17.423765435722107,19.734024826545497,0.0,0.0
2002-01-08,0.0,0.0,22.104335977090187,21.38348391355914,18.44285128974833,0.0,0.0
2002-01-09,0.0,0.0,20.179585582218817,21.19149178896076,17.300213815468187,0.0,0.0
2002-01-10,0.0,0.0,17.476554557408218,21.60292113179844,16.818692097528576,0.0,0.0
2002-01-11,0.0,0.0,17.26398495011173,26.73513780590525,17.154912416759206,0.0,0.0
2002-01-14,0.0,0.0,17.744322020827514,21.872286356772246,16.67383169203401,0.0,0.0
2002-01-15,0.0,0.0,21.955535800060364,21.710869316527123,15.522865734045755,0.0,0.0
2002-01-16,0.0,0.0,17.029350733561856,23.55619473831621,15.562782174930529,0.0,0.0
2002-01-17,0.0,0.0,15.418473753989556,24.582791149129037,16.087588377607293,0.0,0.0
2002-01-18,0.0,0.0,11.83099906519716,28.15391366112595,17.854380926706046,0.0,0.0
2002-01-22,0.0,0.0,19.881749807952485,26.041380462177035,17.537133395626217,0.0,0.0
2002-01-23,0.0,0.0,22.160326231741944,21.673261475155677,16.36385014603133,0.0,0.0
2002-01-24,0.0,0.0,23.18302439882433,22.067250275579983,15.371131149865127,0.0,0.0
2002-01-25,0.0,0.0,21.46348292923208,23.492959041157302,14.59564439460114,0.0,0.0
2002-01-28,0.0,0.0,21.759814726162023,20.014039624034243,13.851606185529162,0.0,0.0
2002-01-29,0.0,0.0,17.30883151398359,32.33626714773334,15.02432907206814,0.0,0.0
2002-01-30,0.0,0.0,16.279041073084148,31.402172536352097,16.216674835362234,0.0,0.0
2002-01-31,0.0,0.0,22.148163646877407,31.121963800917825,16.261615166236215,0.0,0.0
2002-02-01,0.0,0.0,21.71938582048611,28.834322657108,16.105358057061842,0.0,0.0
2002-02-04,0.0,0.0,21.493973131026745,34.04754281386785,16.56941371604671,0.0,0.0
2002-02-05,0.0,0.0,18.16460940167311,40.396575280851756,18.097573778776013,0.0,0.0
2002-02-06,0.0,0.0,18.0855207518829,40.12866885860954,19.509575151790443,0.0,0.0
2002-02-07,0.0,0.0,24.39029538429861,39.53223723398715,19.808030976833027,0.0,0.0
