Date,pos_k_hl,neg_k_hl,pos_k_hl_copy,neg_k_hl_copy
2001-09-25,0.012871657005047433,0.0,0.0,0.0
2001-09-26,0.011632484141387333,0.0,0.0,0.0
2001-09-27,0.01051260822492132,0.0,0.0,0.0
2001-09-28,0.00950054436760256,0.0,0.0,0.0
2001-10-01,0.903728567101021,0.0,0.0,0.0
2001-10-02,0.7380980058649061,0.0,0.0,0.0
2001-10-03,0.6028233322415857,0.0,0.0,0.0
2001-10-04,0.4923410807336086,0.0,0.0,0.0
2001-10-05,0.40210742818560025,0.0,0.0,0.0
2001-10-08,0.3284113191633578,0.0,0.0,0.0
2001-10-09,0.2682218407187316,0.0,0.0,0.0
2001-10-10,0.21906356949517597,0.0,0.21906356949517597,0.0
2001-10-11,0.17891476455226796,0.0,0.17891476455226796,0.0
2001-10-12,0.14612421886742963,0.0,0.14612421886742963,0.0
2001-10-15,0.11934334985181531,0.0,0.11934334985181531,0.0
2001-10-16,0.09747073595496525,0.0,0.09747073595496525,0.0
2001-10-17,0.07960681830532718,0.0,0.07960681830532718,0.0
2001-10-18,0.06501690439298,0.0,0.06501690439298,0.0
2001-10-19,0.05310095224045683,0.0,0.05310095224045683,0.0
2001-10-22,0.04336889236990074,0.0,0.04336889236990074,0.0
2001-10-23,0.03542047262871935,0.0,0.03542047262871935,0.0
2001-10-24,0.028928796948307408,0.0,0.028928796948307408,0.0
2001-10-25,0.023626881031447652,0.0,0.023626881031447652,0.0
2001-10-26,0.019296672041760873,0.005727149813787205,0.019296672041760873,0.0
2001-10-29,0.015760080706025404,0.005175788894786789,0.015760080706025404,0.0
2001-10-30,0.012871657005047428,0.004227197856845902,0.012871657005047428,0.0
2001-10-31,0.010512608224921326,0.00345245953499398,0.010512608224921326,0.0
2001-11-01,0.008585913348013133,0.0028197111288432767,0.008585913348013133,0.0
2001-11-02,0.007012332852358511,0.0023029294824556106,0.007012332852358511,0.0
2001-11-05,0.0057271498137872025,0.0018808608253920351,0.0057271498137872025,0.0
2001-11-06,0.004677508281503042,0.0015361466651259445,0.004677508281503042,0.0
2001-11-07,0.0038202394620198542,0.0012546098812418565,0.0038202394620198542,0.0
2001-11-08,0.003120086308534365,0.002302929482455612,0.003120086308534365,0.0
2001-11-09,0.002548253498108337,0.0020812231613143058,0.002548253498108337,0.0
2001-11-12,0.0020812231613143058,0.001880860825392034,0.0020812231613143058,0.0
2001-11-13,0.001699787658647987,0.0015361466651259454,0.001699787658647987,0.0
2001-11-14,0.0013882596245312821,0.001254609881241857,0.0013882596245312821,0.0
2001-11-15,0.0011338267902454853,0.0010246716604893024,0.0011338267902454853,0.0
2001-11-16,0.000926025051483021,0.0008368752928764003,0.000926025051483021,0.0
2001-11-19,0.0007563081092734365,0.0011338267902454855,0.0007563081092734365,0.0
2001-11-20,0.0006176959848296802,0.0010246716604893021,0.0006176959848296802,0.0
2001-11-21,0.0005044879527224044,0.0009260250514830215,0.0005044879527224044,0.0
2001-11-23,0.00041202808613402205,0.0007563081092734364,0.00041202808613402205,0.0
2001-11-26,0.0003365137717306003,1.0,0.0003365137717306003,0.0
2001-11-27,0.00027483931890876005,0.903728567101021,0.00027483931890876005,0.0
2001-11-28,0.0002244682315073356,0.7380980058649061,0.0,0.7380980058649061
2001-11-29,0.000183328888879825,0.6028233322415857,0.0,0.6028233322415857
2001-11-30,0.00014972934598459143,0.4923410807336086,0.0,0.4923410807336086
2001-12-03,0.0001222877484610153,0.40210742818560025,0.0,0.40210742818560025
2001-12-04,9.98755008600886e-05,0.3284113191633578,0.0,0.3284113191633578
2001-12-05,8.157085069918982e-05,0.2682218407187316,0.0,0.2682218407187316
2001-12-06,6.662097938422901e-05,0.21906356949517597,6.662097938422901e-05,0.0
2001-12-07,5.441104090579202e-05,0.17891476455226796,0.0,0.0
2001-12-10,4.4438874958248036e-05,0.14612421886742963,0.0,0.0
2001-12-11,3.6294354503785764e-05,0.11934334985181531,0.0,0.0
2001-12-12,2.964251840498004e-05,0.09747073595496525,0.0,0.0
2001-12-13,2.420979541867667e-05,0.07960681830532718,0.0,0.0
2001-12-14,1.977275298294862e-05,0.06501690439298,0.0,0.0
2001-12-17,1.614890806648848e-05,0.05310095224045683,0.0,0.0
2001-12-18,1.3189222156610711e-05,0.04336889236990074,0.0,0.0
2001-12-19,1.0771971725903636e-05,0.03542047262871935,0.0,0.0
2001-12-20,8.797742087125889e-06,0.028928796948307408,0.0,0.0
2001-12-21,7.185338747729883e-06,0.023626881031447652,0.0,0.0
2001-12-24,5.868448109564332e-06,0.019296672041760873,0.0,0.0
2001-12-26,4.792910177760187e-06,0.015760080706025404,0.0,0.0
2001-12-27,3.914491113014643e-06,0.012871657005047428,0.0,0.0
2001-12-28,0.001880860825392034,0.010512608224921326,0.0,0.0
2001-12-31,0.0015361466651259454,0.008585913348013133,0.0,0.0
2002-01-02,0.001254609881241857,0.007012332852358511,0.0,0.0
2002-01-03,0.0010246716604893024,0.0057271498137872025,0.0,0.0
2002-01-04,0.6670402532204126,0.004677508281503042,0.0,0.0
2002-01-07,0.5447886662617509,0.0038202394620198542,0.0,0.0
2002-01-08,0.4449426994163521,0.003120086308534365,0.0,0.0
2002-01-09,0.36339596989484924,0.002548253498108337,0.0,0.0
2002-01-10,0.29679469088725746,0.0020812231613143058,0.0,0.0
2002-01-11,0.24239973977793766,0.001699787658647987,0.0,0.0
2002-01-14,0.1979740057639103,0.0013882596245312821,0.0,0.0
2002-01-15,0.16169038380203765,0.0011338267902454853,0.0,0.0
2002-01-16,0.13205663093581815,0.03201049297479347,0.0,0.0
2002-01-17,0.1078539945546169,0.026143780214050245,0.0,0.0
2002-01-18,0.08808708853886273,0.021352287339616482,0.0,0.0
2002-01-22,0.07194295583854467,0.017438953774118887,0.0,0.0
2002-01-23,0.05875763384441189,0.014242835153852785,0.0,0.0
2002-01-24,0.04798884747996779,0.011632484141387334,0.0,0.0
2002-01-25,0.0391937069582088,0.009500544367602557,0.0,0.0
2002-01-28,0.219063569495176,0.00775933516725344,0.0,0.0
2002-01-29,0.19797400576391033,1.0,0.0,1.0
2002-01-30,0.17891476455226793,0.005175788894786789,0.0,0.005175788894786789
2002-01-31,0.16169038380203768,0.004227197856845903,0.0,0.004227197856845903
2002-02-01,0.14612421886742963,1.0,0.0,1.0
2002-02-04,0.13205663093581818,1.0,0.0,1.0
2002-02-05,0.1193433498518153,1.0,0.0,1.0
2002-02-06,0.1078539945546169,1.0,0.0,1.0
2002-02-07,0.09747073595496526,1.0,0.0,1.0
2002-02-08,0.0880870885388627,0.001254609881241857,0.0,0.001254609881241857
2002-02-11,0.07194295583854465,0.001024671660489303,0.0,0.001024671660489303
2002-02-12,0.0587576338444119,0.0008368752928764003,0.0,0.0008368752928764003
2002-02-13,0.0479888474799678,0.0006834972438805649,0.0,0.0006834972438805649
2002-02-14,0.03919370695820879,0.0005582295072741811,0.0,0.0005582295072741811
2002-02-15,0.03201049297479348,0.0004559201746335462,0.0,0.0004559201746335462
2002-02-19,0.026143780214050248,0.00037236155188727566,0.0,0.00037236155188727566
2002-02-20,0.02135228733961648,0.0003041171087358555,0.0,0.0003041171087358555
2002-02-21,0.017438953774118887,0.0002483801438604342,0.0,0.0002483801438604342
2002-02-22,0.035420472628719356,0.00020285835321982466,0.0,0.00020285835321982466
2002-02-25,0.0289287969483074,0.0001656795540555866,0.0,0.0001656795540555866
2002-02-26,0.023626881031447652,0.00013531468729962784,0.0,0.00013531468729962784
2002-02-27,0.7380980058649061,0.00011051493169068346,0.0,0.00011051493169068346
2002-02-28,0.6028233322415857,9.026034328078472e-05,0.0,9.026034328078472e-05
2002-03-01,0.49234108073360855,7.371790801959014e-05,0.0,7.371790801959014e-05
2002-03-04,0.40210742818560025,6.020728223777596e-05,0.0,6.020728223777596e-05
2002-03-05,0.32841131916335786,4.91728120322665e-05,0.32841131916335786,0.0
