,Date,pos_k,neg_k,std,pos_k_hl,neg_k_hl
133,2001-11-05,,,3.3303032011702762,,
134,2001-11-06,,,2.6024046963304346,,
135,2001-11-07,1.0,,2.30167778828884,1.0,
136,2001-11-08,,,2.9377425281238003,0.10009077164306304,
137,2001-11-09,,,3.8557755989099793,0.0,
138,2001-11-12,,,4.6543878278652935,,
139,2001-11-13,,,5.6657835945243225,,
140,2001-11-14,,,6.676778505706463,,
141,2001-11-15,,,7.430840115702135,,
142,2001-11-16,,,7.622392232646323,,
143,2001-11-19,,,7.579417883711965,,
144,2001-11-20,,,7.28573909904885,,
145,2001-11-21,,1.0,6.708622140374467,,1.0
146,2001-11-23,,,6.156577990154494,,0.0
147,2001-11-26,1.0,,5.653246835191119,1.0,
148,2001-11-27,,,4.917511831148871,0.0,
149,2001-11-28,,1.0,3.9265820452447655,,1.0
150,2001-11-29,,,3.2275096022110668,,0.0
151,2001-11-30,,,2.830146316476647,,
152,2001-12-03,,,2.7476106116078025,,
153,2001-12-04,,,3.0937031643602353,,
154,2001-12-05,,,3.349134398262876,,
155,2001-12-06,,,3.4170279389641647,,
156,2001-12-07,,,3.432302316680949,,
157,2001-12-10,,,3.239317217487754,,
158,2001-12-11,,,2.392962466653625,,
159,2001-12-12,,,1.8351395977092555,,
160,2001-12-13,,,1.480445686665271,,
161,2001-12-14,,,1.8602312959988032,,
162,2001-12-17,,,2.509655926565053,,
163,2001-12-18,,,2.9181061945222195,,
164,2001-12-19,,,2.9151474782655438,,
165,2001-12-20,1.0,,2.771847751206506,1.0,
166,2001-12-21,,,2.7659519928988643,0.0,
167,2001-12-24,,,3.213854268013055,,
168,2001-12-26,,,3.910914947399983,,
169,2001-12-27,,,4.862344082384427,,
170,2001-12-28,,,5.908706284502433,,
171,2001-12-31,,,6.4444737447592475,,
172,2002-01-02,,,6.547410439198647,,
173,2002-01-03,,,6.228933177687465,,
174,2002-01-04,,,6.2133216344546245,,
175,2002-01-07,,,6.095159320157373,,
176,2002-01-08,,,5.552323547753619,,
177,2002-01-09,,1.0,4.733695518215885,,1.0
178,2002-01-10,,,3.7619422844619694,,0.0
179,2002-01-11,,,2.880676636293596,,
180,2002-01-14,,,2.5526694903402314,,
181,2002-01-15,,,2.466462561312681,,
182,2002-01-16,,,2.8636427015209347,,
183,2002-01-17,,,3.1751865726130886,,
184,2002-01-18,,,3.1489590832274605,,
185,2002-01-22,,,2.7439674541225596,,
186,2002-01-23,,,2.3979516648786094,,
187,2002-01-24,,,1.929189947564786,,
188,2002-01-25,,,1.2898199484183683,,
189,2002-01-28,,,0.8556995016119123,,
190,2002-01-29,,,1.8178804564478206,,
191,2002-01-30,,,2.8205811077394825,,
192,2002-01-31,,,3.89457857500506,,
193,2002-02-01,,,5.099424352942339,,
194,2002-02-04,,,6.894029986951508,,
195,2002-02-05,,,8.679157607963408,,
196,2002-02-06,,,10.426089467821408,,
197,2002-02-07,,,11.739229810799698,,
198,2002-02-08,,,12.149644102486327,,
199,2002-02-11,,,11.639985778963721,,
200,2002-02-12,,,11.063330061429387,,
201,2002-02-13,,,10.067421362523403,,
202,2002-02-14,,,8.502493649661531,,
203,2002-02-15,,,6.732955656564553,,
204,2002-02-19,,,6.089115779051193,,
205,2002-02-20,,,5.859839197514992,,
206,2002-02-21,,,6.363604959301554,,
207,2002-02-22,,,7.307721670699826,,
208,2002-02-25,,,7.778613626291767,,
209,2002-02-26,,,7.7763139026899095,,
210,2002-02-27,1.0,,7.4009045729847776,1.0,
211,2002-02-28,,,6.493093720036948,0.0,
212,2002-03-01,,,4.970939038553349,,
213,2002-03-04,,,3.771505611215009,,
214,2002-03-05,,,4.453874990210276,,
215,2002-03-06,,,6.276275611057826,,
216,2002-03-07,,,8.301566860092697,,
217,2002-03-08,,,9.971015612948344,,
218,2002-03-11,,,11.209432261288212,,
219,2002-03-12,,,11.96740503595984,,
