Date,pos_k,neg_k,pos_k_hl,neg_k_hl,POS_DI14,NEG_DI14,ADX,pos_k_copy,neg_k_copy,pos_k_hl_copy,neg_k_hl_copy
2011-01-07,0.0,0.45,0.0,0.43527528164806206,32.67478194873381,16.99085407188619,29.845136795742718,0.0,0.0,0.0,0.0
2011-01-10,0.0,0.32000000000000006,0.0,0.32987697769322355,28.046678432357588,17.69512277029419,29.329798934571567,0.0,0.0,0.0,0.0
2011-01-11,0.0,0.7,0.0,0.6597539553864471,22.39351085911389,19.825057316116844,27.669363721204444,0.0,0.0,0.0,0.0
2011-01-12,0.0,0.54,0.0,0.49999999999999994,22.332604156170454,19.583914189497886,26.16137588815718,0.0,0.0,0.0,0.0
2011-01-13,0.0,0.4,0.0,0.3789291416275995,23.792424284646888,18.184528588725804,25.24695357444353,0.0,0.0,0.0,0.0
2011-01-14,0.0,0.27999999999999997,0.0,0.2871745887492587,29.377235520580772,15.611560130846513,25.62917176313107,0.0,0.0,0.0,0.0
2011-01-18,0.0,0.18,0.0,0.21763764082403103,27.331946009244074,15.785824277991555,25.711238411324164,0.0,0.0,0.0,0.0
2011-01-19,0.0,0.2,0.0,0.32987697769322355,25.337920976248185,26.821096719229377,24.077833191137014,0.0,0.0,0.0,0.0
2011-01-20,0.0,0.09000000000000001,0.0,0.24999999999999997,25.23779570174302,31.270240094535627,23.120514706745187,0.0,0.0,0.0,0.0
2011-01-21,0.0,0.0,0.0,0.18946457081379975,28.33028770431831,30.388067634655304,21.71937021126379,0.0,0.0,0.0,0.0
2011-01-24,0.0,0.0,0.0,0.14358729437462936,18.416282287018426,31.649092434976072,22.05591961256872,0.0,0.0,0.0,0.0
2011-01-25,0.0,0.0,0.0,0.10881882041201552,15.835432674262679,43.714397593207394,23.82451074270821,0.0,0.0,0.0,0.0
2011-01-26,0.3,0.0,0.37892914162759955,0.08246924442330589,15.097126637201915,44.99685795645068,25.67668489593316,0.0,0.0,0.0,0.08246924442330589
2011-01-27,0.2,0.0,0.32987697769322355,0.0625,18.210036030390388,44.74393142004555,26.85321389208105,0.0,0.0,0.0,0.0625
2011-01-28,0.09000000000000001,0.0,0.24999999999999997,0.047366142703449944,19.89917758427907,37.664595640250276,27.13956647342153,0.0,0.0,0.0,0.047366142703449944
2011-01-31,0.0,0.0,0.18946457081379975,0.03589682359365734,20.135384433748687,38.1844548548455,27.411627637374433,0.0,0.0,0.0,0.03589682359365734
2011-02-01,0.0,0.0,0.14358729437462936,0.0,26.46846463627153,36.31779734110508,26.574160126398887,0.0,0.0,0.0,0.0
2011-02-02,0.0,0.0,0.10881882041201552,0.0,25.57252183277509,36.751280636293046,25.95719013050589,0.0,0.0,0.0,0.0
2011-02-03,0.0,0.0,0.08246924442330589,0.0,24.695347679273446,42.313913656072785,25.981157457927214,0.0,0.0,0.0,0.0
2011-02-04,0.0,0.0,0.0625,0.0,19.120668545668718,43.04032935547964,26.873944429320694,0.0,0.0,0.0,0.0
2011-02-07,0.0,0.0,0.125,0.0,25.657292900421854,42.36037370463429,26.70844655207677,0.0,0.0,0.0,0.0
2011-02-08,0.9,0.0,0.8705505632961241,0.0,27.482382828485232,24.94557779474317,25.146318161130147,0.9,0.0,0.8705505632961241,0.0
2011-02-09,0.7200000000000001,0.0,0.6597539553864471,0.0,27.013417730806747,23.90870140963529,23.78565183716975,0.0,0.0,0.0,0.0
2011-02-10,0.5599999999999999,0.0,0.49999999999999994,0.0,22.30077759301846,24.478283852311076,22.419167689243242,0.0,0.0,0.0,0.0
2011-02-11,0.42,0.0,0.37892914162759944,0.0,24.887508586187845,24.462265326682445,20.879348026924454,0.0,0.0,0.0,0.0
2011-02-14,0.3,0.0,0.2871745887492587,0.0,25.523801830802125,10.529174761920524,22.358718766816764,0.0,0.0,0.0,0.0
2011-02-15,0.2,0.0,0.21763764082403103,0.0,27.99662607052264,10.858477642024148,23.912227693096472,0.0,0.0,0.0,0.0
2011-02-16,0.12,0.0,0.1649384888466118,0.0,28.75176870398167,11.099504996317837,25.36816545647306,0.12,0.0,0.1649384888466118,0.0
2011-02-17,0.06,0.0,0.125,0.0,27.219031722756075,14.145086541144686,25.81379447870049,0.06,0.0,0.125,0.0
