Date,Open,High,Low,Close,Adj Close,Volume
2001-04-23,94.000000,94.750000,92.500000,92.959999,77.151215,2063400
2001-04-24,92.699997,93.739998,91.150002,91.400002,75.856506,2786500
2001-04-25,90.000000,93.300003,89.699997,92.820000,77.034981,3109700
2001-04-26,92.820000,96.099998,91.500000,92.489998,76.761124,4163200
2001-04-27,92.000000,94.690002,91.949997,92.940002,77.134644,4054700
2001-04-30,95.080002,95.080002,91.000000,91.099998,75.607491,2716800
2001-05-01,90.000000,93.099998,89.290001,92.650002,76.893944,3781600
2001-05-02,94.400002,98.500000,93.949997,98.000000,81.334091,4391200
2001-05-03,96.150002,96.750000,95.139999,96.000000,79.674225,3092900
2001-05-04,94.000000,97.800003,93.800003,97.199997,80.670158,3000400
2001-05-07,96.199997,98.199997,95.690002,96.010002,79.682541,2135600
2001-05-08,96.099998,96.550003,95.019997,95.250000,79.051781,1935100
2001-05-09,94.940002,96.150002,94.449997,94.660004,78.562119,1931800
2001-05-10,95.910004,97.650002,94.489998,94.510002,78.437622,1935600
2001-05-11,94.400002,97.000000,92.500000,92.849998,77.059891,2591600
2001-05-14,92.400002,94.250000,92.279999,94.099998,78.097305,1616200
2001-05-15,94.110001,95.699997,93.199997,94.849998,78.719803,2560400
2001-05-16,94.599998,99.949997,92.500000,99.949997,82.952461,3089700
2001-05-17,99.250000,100.599998,97.849998,97.949997,81.292625,2270500
2001-05-18,97.900002,97.900002,96.750000,97.250000,80.711655,1977200
2001-05-21,97.750000,101.989998,97.000000,101.900002,84.570892,2332600
2001-05-22,102.599998,105.150002,102.309998,103.290001,85.724503,2288500
2001-05-23,102.290001,102.300003,99.199997,99.300003,82.413040,3134600
2001-05-24,99.000000,100.250000,98.050003,99.849998,82.869469,1817000
2001-05-25,99.900002,99.900002,97.519997,97.959999,81.300919,1234800
2001-05-29,97.500000,97.599998,95.209999,96.879997,80.404587,2251400
2001-05-30,95.550003,96.750000,94.400002,94.760002,78.645081,2355000
2001-05-31,94.550003,95.849998,94.489998,95.099998,78.927284,1893200
2001-06-01,95.489998,96.699997,93.900002,96.699997,80.255188,1920900
2001-06-04,96.199997,96.900002,95.250000,96.510002,80.097504,1198400
2001-06-05,97.099998,98.139999,97.000000,97.349998,80.794678,1376800
2001-06-06,96.300003,96.300003,94.690002,95.540001,79.292465,1962000
2001-06-07,95.540001,97.070000,94.559998,96.900002,80.421204,1536900
2001-06-08,96.900002,96.900002,95.250000,95.360001,79.143074,924900
2001-06-11,95.199997,95.650002,91.900002,92.010002,76.362740,2673700
2001-06-12,91.199997,91.949997,90.059998,91.860001,76.238319,2592500
2001-06-13,91.559998,92.980003,89.070000,89.160004,73.997437,2178300
2001-06-14,89.050003,89.449997,87.000000,87.010002,72.213081,2714200
2001-06-15,86.750000,90.000000,86.050003,89.290001,74.105339,3025300
2001-06-18,88.800003,89.879997,88.000000,88.650002,73.574142,1799400
2001-06-19,90.500000,91.500000,87.750000,88.180000,73.184074,4292900
2001-06-20,87.599998,89.000000,86.430000,88.400002,73.366692,3849500
2001-06-21,87.750000,93.510002,87.750000,93.000000,77.184380,3880900
2001-06-22,92.400002,92.849998,91.089996,92.099998,76.437462,2606300
2001-06-25,92.849998,92.849998,90.599998,90.949997,75.483009,1260700
2001-06-26,89.000000,90.300003,87.500000,90.300003,74.943558,3260600
2001-06-27,89.010002,91.500000,87.500000,87.500000,72.619751,3496800
2001-06-28,88.099998,89.849998,86.239998,86.599998,71.872795,3007200
2001-06-29,87.000000,87.239998,84.500000,85.800003,71.208839,4347900
2001-07-02,85.949997,85.949997,84.449997,84.599998,70.212936,2441400
2001-07-03,84.599998,85.150002,83.750000,84.000000,69.714966,1789700
2001-07-05,83.750000,85.389999,83.500000,84.000000,69.714966,2055300
2001-07-06,83.750000,83.750000,81.699997,83.099998,68.968010,2206600
2001-07-09,82.599998,82.900002,81.250000,81.910004,67.980392,2765400
2001-07-10,82.250000,82.849998,81.139999,81.599998,67.723083,2444600
2001-07-11,81.250000,81.949997,80.000000,81.599998,67.723083,2863700
2001-07-12,83.500000,86.849998,83.080002,86.550003,71.831299,3151600
2001-07-13,86.000000,88.000000,85.620003,86.150002,71.499329,1880300
2001-07-16,85.900002,87.139999,82.000000,83.400002,69.216988,2713000
2001-07-17,82.900002,86.470001,81.650002,85.849998,71.250359,2687400
2001-07-18,83.849998,85.099998,82.300003,84.000000,69.714966,2376100
2001-07-19,85.000000,85.500000,81.650002,83.000000,68.884987,2470600
2001-07-20,82.849998,83.800003,82.050003,82.949997,68.843536,2190000
2001-07-23,83.750000,84.970001,81.589996,81.739998,67.839279,3210700
2001-07-24,81.300003,82.559998,80.750000,81.849998,67.930595,2487700
2001-07-25,81.949997,83.199997,81.150002,83.199997,69.051025,1863500
2001-07-26,82.800003,85.000000,81.800003,84.639999,70.246063,2567400
2001-07-27,84.519997,86.080002,83.599998,84.820000,70.495422,1770100
2001-07-30,83.849998,84.750000,82.059998,82.690002,68.725166,2174700
2001-07-31,82.449997,84.900002,82.070000,83.160004,69.115784,2308100
2001-08-01,83.500000,85.900002,83.400002,85.349998,70.935944,2082200
2001-08-02,85.949997,87.500000,85.940002,86.300003,71.725494,2010800
2001-08-03,86.099998,86.500000,84.849998,85.500000,71.060600,1420400
2001-08-06,84.849998,85.050003,83.699997,83.949997,69.772369,1228500
2001-08-07,83.680000,84.180000,82.769997,83.540001,69.431633,1744000
2001-08-08,82.900002,83.949997,81.800003,81.800003,67.985466,1921200
2001-08-09,80.599998,80.760002,78.949997,80.050003,66.531044,3954300
2001-08-10,79.809998,80.800003,78.550003,80.800003,67.154335,2591000
2001-08-13,80.150002,82.589996,79.949997,82.199997,68.317940,2396800
2001-08-14,82.199997,83.400002,81.300003,81.300003,67.569908,2258600
2001-08-15,81.500000,82.169998,80.809998,81.849998,68.027054,2309300
2001-08-16,81.300003,81.849998,79.959999,81.099998,67.403687,2545200
2001-08-17,80.050003,80.150002,77.050003,77.250000,64.203865,4275400
2001-08-20,77.260002,78.059998,77.260002,77.839996,64.694229,2560400
2001-08-21,77.830002,79.690002,75.400002,75.400002,62.666328,3768800
2001-08-22,75.410004,77.500000,75.050003,77.500000,64.411674,4084400
2001-08-23,77.269997,77.980003,76.800003,77.699997,64.577881,2108800
2001-08-24,78.000000,81.500000,77.900002,81.300003,67.569908,2903600
2001-08-27,81.300003,82.800003,80.500000,81.900002,68.068550,2368800
2001-08-28,81.900002,82.029999,80.510002,81.050003,67.362144,3512900
2001-08-29,81.050003,81.550003,79.800003,80.800003,67.154335,2578800
2001-08-30,80.050003,80.300003,78.500000,79.610001,66.165314,3152600
2001-08-31,79.699997,81.400002,79.010002,80.099998,66.572594,2008900
2001-09-04,79.949997,81.449997,79.250000,79.620003,66.173637,2620700
2001-09-05,80.650002,81.400002,78.099998,78.550003,65.284317,3372100
2001-09-06,78.000000,78.800003,76.650002,77.099998,64.079216,2891400
2001-09-07,77.099998,77.400002,74.000000,74.480003,61.901718,3726700
2001-09-10,74.480003,76.760002,73.500000,76.199997,63.331219,2558900
2001-09-17,72.300003,72.309998,68.580002,69.400002,57.679577,5765800
2001-09-18,69.900002,70.000000,66.279999,67.500000,56.100471,3562500
2001-09-19,67.800003,68.500000,63.270000,67.510002,56.108810,5888500
2001-09-20,65.750000,67.339996,64.099998,65.750000,54.646038,3923900
